Metric,Strat1_Split,Strat2_Shared,Pure_DCA,Yearly_Lump
Total_Invested,1573174.7399999995,1710749.25,1520452.96,1780220.6800000002
Final_Value,2093003.67,2494983.17,2199445.56,2848000.02
Total_Return_Pct,33.0433051575695,45.84154691285119,44.65725792661156,59.98016717792537
Annualized_Return_Pct,10.189232142040439,13.682918603792405,13.368340879060693,17.314606661720887
Sharpe_Ratio,0.6972305452340246,2.2380711866748038,2.0704954576373327,1.2213829861240102
Max_Drawdown_Pct,-15.894073711079887,-21.542149348271327,-21.90472802145564,-26.71059091244299
DCA_Buys,33.0,36.0,N/A,N/A
AI_Trades,4.0,10.0,N/A,N/A
AI_Win_Rate_Pct,75.0,90.0,N/A,N/A
