buy_date,buy_price,buy_confidence,sell_date,sell_price,sell_confidence,sell_reason,return,profit,hold_days
2023-01-30,15493.82,0.9999181032180786,2023-07-27,17241.82,0.9999885559082031,timeout,0.11281917564551547,101384.0,120
2024-08-16,22349.33,0.9999170303344727,2025-02-19,23604.08,0.9999885559082031,timeout,0.05614262262000702,55209.0,120
2025-03-12,22278.36,0.5200768113136292,2025-04-07,19232.35,0.999988317489624,stop_loss,-0.1367250551656406,-140116.46000000008,16
2025-04-10,19000.03,0.9964411854743958,2025-09-30,25820.54,0.9999885559082031,timeout,0.35897364372582574,327384.48,120
